Ngram,Count,KneserNey_Prob
"गया है । </s>",94329,0.9966637381813299
"रहा है । </s>",92139,0.9957123865617188
"रही है । </s>",73230,0.9958860815505243
"रहे हैं । </s>",71056,0.9925927880935289
"गई है । </s>",51554,0.9979045238144159
"किया है । </s>",41571,0.9958495966900028
"जाता है । </s>",39065,0.9976694183370577
". . . </s>",36231,0.6773833602145559
"सकता है । </s>",35669,0.9913218112896495
"<s> उन्होंने कहा कि",35620,0.94030256395767
"नहीं है । </s>",34051,0.9893010288734505
"सकते हैं । </s>",33636,0.9928199504501611
"किया गया । </s>",32979,0.9989927301998502
"गया था । </s>",32789,0.9984697207215725
"जा रहा है ।",32599,0.624883977046081
"दिया है । </s>",32158,0.9965136068646582
"की है । </s>",31156,0.996983821760077
"होता है । </s>",25081,0.9946756588604128
"गए हैं । </s>",24967,0.9974727306640349
"का कहना है कि",24737,0.9880959889409714
"किया गया है ।",24595,0.7557753783459951
"जा रही है ।",22481,0.7759453054948731
"हो गई । </s>",22273,0.999136419317367
"कर दिया । </s>",21664,0.9975020009499563
"हुआ है । </s>",20837,0.9964489964529537
"दी है । </s>",20629,0.9976179415747457
"कर रहे हैं ।",19949,0.6573354814892807
"हुई है । </s>",19160,0.9971243450158289
"करते हैं । </s>",18859,0.9915741283518117
"किया था । </s>",18851,0.9981862558771809
"सकती है । </s>",18238,0.9925845667387302
"गया है . </s>",17982,0.9853802186303616
"रहे थे । </s>",17940,0.9975393900887117
"हो गया । </s>",17892,0.9976997324683647
"रहा है . </s>",17848,0.9781453433186876
"गई थी । </s>",17411,0.9984371878258107
"रहे हैं . </s>",16950,0.9748792783125594
"होती है । </s>",16924,0.9962176357539683
"किया जा रहा है",16722,0.922275258613506
"दिया गया है ।",16558,0.7605895148797682
"<s> बता दें कि",16530,0.9778419614456804
"रहा था । </s>",16461,0.9981049917235457
"किया जाएगा । </s>",16416,0.9944114878867104
"रही हैं । </s>",16105,0.9954719031615957
"जाती है । </s>",16004,0.996187066713816
"करता है । </s>",15941,0.9951149446831565
". . . .",15408,0.28809759901110077
"की थी । </s>",15065,0.9982604107139088
"रही है . </s>",14734,0.9788876292163364
"की गई । </s>",14561,0.9999999380482818
"लिया है । </s>",13892,0.9971821284685736
"नई दिल्ली । </s>",13624,0.9999999999814804
"दिया गया । </s>",13518,0.9979144461569095
"चुके हैं । </s>",13478,0.9984251793519597
"जा सकता है ।",13323,0.6607380871623187
"हो गए । </s>",12909,0.9999999049425787
"कर सकते हैं ।",12899,0.6888446890194315
"दिया था । </s>",12782,0.9984959872282799
"की जा रही है",12582,0.8544633315068553
"कर दिया है ।",12120,0.7309247044050117
"की गई है ।",12097,0.8005983009154937
"हो गया है ।",11967,0.7413777609085566
"गए थे । </s>",11897,0.9978819031070604
"<s> उन्होंने बताया कि",11817,0.9798675379025583
"चुकी है । </s>",11594,0.997397110866595
"जाते हैं । </s>",11537,0.9971255657463881
"कर रही है ।",11510,0.726854113592751
"<s> नई दिल्ली ।",11359,0.7276245930400692
"हो गई है ।",11301,0.7664398459888708
"चुका है । </s>",11219,0.9979312829159627
"रही थी । </s>",10762,0.997659076612376
"जा रहा है कि",10761,0.20621841776165523
"हुए हैं । </s>",10686,0.9967114270892984
"हुआ था । </s>",10569,0.9999997931921866
"मौत हो गई ।",10438,0.6272051474032938
"किया है . </s>",10054,0.9844517249361459
"<s> इसके साथ ही",9848,0.9608669767596173
"हो रहा है ।",9838,0.6923092040785428
"हो रही है ।",9478,0.7374727060633004
"की जाएगी । </s>",9453,0.993979489645595
"किया गया था ।",9434,0.719410056576211
"की मौत हो गई",9270,0.7362156546851067
"दी गई है ।",9205,0.789483473903781
"हुई थी । </s>",9082,0.9999997863077688
"के साथ - साथ",9032,0.999999550262718
"<s> गौरतलब है कि",8895,0.9939374853327809
"होते हैं । </s>",8759,0.9964440815892911
"गई है . </s>",8714,0.986438928273283
"जा रहे हैं ।",8686,0.7115865523501436
"ने कहा है कि",8671,0.9926857045068331
"किया जा सकता है",8440,0.8668723721373846
"कर दिया गया है",8403,0.5047035863990406
"किया जाता है ।",8356,0.7079131946748961
"हो सकता है ।",8134,0.628556490345923
"सकते हैं . </s>",8047,0.9821164524628216
"दी गई । </s>",8044,0.9999998878569158
"में है । </s>",8043,0.9952661981965067
"कर दी । </s>",7967,0.9999998617003324
"शामिल हैं । </s>",7918,0.9969457284717937
"सकता है . </s>",7874,0.979167385013931
"जाता है . </s>",7862,0.9836681608290025
"नहीं है . </s>",7740,0.9577438176007729
"दिया है . </s>",7692,0.984665263657887
"कर रहा है ।",7598,0.6946674756924881
"बताया जा रहा है",7405,0.9708849956426602
"कर दी है ।",7098,0.8113418825365669
"की है . </s>",7094,0.9860260252455597
"आया है । </s>",7062,0.9961553475069347
"दी थी । </s>",6640,0.9999997077179451
"गया था . </s>",6635,0.9911069398084386
"करते हुए कहा कि",6622,0.8134656929088391
"आई है । </s>",6574,0.9966259532854581
"रहता है । </s>",6514,0.9968999868131855
"करती है । </s>",6284,0.9931639402377003
"कर लिया । </s>",6239,0.9999997843310016
"हो सकती है ।",6238,0.7322604804788052
"<s> आपको बता दें",6176,0.9383673412737435
"गई हैं । </s>",6175,0.9964085061715807
"चल रहा है ।",6157,0.7664509650638548
"रहते हैं । </s>",6148,0.9951027546935519
"में हैं । </s>",6147,0.9946189809499203
"- - - -",6091,0.9999709940084199
"दिया जाएगा । </s>",6079,0.9943963450313544
"कहा गया है कि",6015,0.718445864690292
"जारी है । </s>",5968,0.9966173674777371
"कर रहे थे ।",5858,0.7256454887427899
"आपको बता दें कि",5850,0.9657413806676026
"है । ' </s>",5844,0.9999999964521635
"<s> इस मौके पर",5772,0.9999967421751967
"<s> इस अवसर पर",5731,0.9999975974269679
"जा रहा है .",5707,0.10939088685468727
"हो चुकी है ।",5675,0.7259990100403382
"<s> हाल ही में",5568,0.9887221512254394
"देते हैं । </s>",5565,0.9915802460807871
"कर लिया है ।",5550,0.780738493489778
"का आयोजन किया गया",5541,0.6406367038938674
"होता है . </s>",5356,0.9733726885296234
"दिए हैं । </s>",5251,0.999999040301986
"देता है । </s>",5231,0.9999991792988115
"सिंह ने बताया कि",5221,0.9795800795631427
"<s> इस मामले में",5185,0.7636639424447437
"कर रहे हैं .",5183,0.1707573866234121
"मिली है । </s>",5088,0.9940889653885852
"<s> बताया जा रहा",5024,0.9999986651166844
"जानकारी दी । </s>",4989,0.999999779147434
"करना चाहिए । </s>",4952,0.9887654898702523
"नहीं हैं । </s>",4927,0.9867320627255621
"हुए थे । </s>",4906,0.9999995852777702
"लिया था । </s>",4893,0.9954730733312528
"भी है । </s>",4885,0.995667702022451
"किया था . </s>",4875,0.9934225847537768
"ली है । </s>",4854,0.9999991155566715
"की बात करें तो",4836,0.9999932915841352
"रहे है । </s>",4834,0.9999991118974108
"हो गए हैं ।",4800,0.7446620012924152
"का है । </s>",4780,0.9999991018644527
"कर दिया गया ।",4771,0.28654010582814476
"आ रहे हैं ।",4730,0.7163935217943296
"मिला है । </s>",4677,0.9958998113315237
"रही हैं . </s>",4656,0.98528545122336
"रहती है । </s>",4635,0.9999990737674399
"जरूरत है । </s>",4606,0.9791161347128943
"शामिल है । </s>",4560,0.9999990585333516
"करना होगा । </s>",4535,0.9873171494512015
"लिया गया है ।",4534,0.7775762307946761
"आयोजन किया गया ।",4479,0.7992124360616601
"दी है . </s>",4449,0.9930176713035851
"हो जाता है ।",4447,0.6255973094647946
"किया गया है .",4437,0.13633013534935667
"गए हैं . </s>",4415,0.986694443237896
"हो जाएगा । </s>",4407,0.9871756446857113
"पर है । </s>",4383,0.9999990205138224
"लगा है । </s>",4378,0.9999990193951767
"की जरूरत है ।",4358,0.717252330681797
"जा सके । </s>",4341,0.9892311391870102
"आए हैं । </s>",4308,0.9950900510973343
"लोगों की मौत हो",4307,0.6705408415839782
"की गई थी ।",4283,0.7766419315806252
"किए हैं । </s>",4279,0.9999988223009416
"कर दिया था ।",4268,0.7151069443762559
"हुआ है . </s>",4263,0.9850873822284701
"में कहा गया है",4253,0.7699044597685722
"सकती है . </s>",4221,0.9840231362542641
"जरूरी है । </s>",4219,0.9914805953534227
"दिया गया था ।",4139,0.7507947323790385
"सिंह ने कहा कि",4134,0.8895478279282353
"<s> डॉ . </s>",4124,0.9999999995032437
"चाहते हैं । </s>",4115,0.9797048134376238
"में भर्ती कराया गया",4059,0.744389507522695
"हुई है . </s>",4049,0.9896025598991075
"वाला है । </s>",4048,0.9999989394545661
"होना चाहिए । </s>",4044,0.987482016298851
"लिया गया । </s>",4035,0.9999996285114813
"आता है । </s>",3974,0.9941824446783809
"हो चुका है ।",3968,0.7203371003484932
"की थी . </s>",3954,0.9936486027807967
"<s> इतना ही नहीं",3953,0.9762213527040079
"करते हैं . </s>",3941,0.9679460662737104
"नहीं था । </s>",3935,0.9928722574410794
"सकती हैं । </s>",3919,0.994353100266732
"है । "" </s>",3895,0.9999999883102776
"करते थे । </s>",3895,0.9999994776309988
"करना है । </s>",3885,0.9884867498916732
"शुरू कर दी है",3885,0.48132218934650134
"दी जाएगी । </s>",3879,0.9922605948898346
"मिलता है । </s>",3877,0.9999988926778652
"<s> जानकारी के अनुसार",3863,0.5349542726561106
"गयी है । </s>",3853,0.9999988857804526
"की मांग की है",3852,0.3678431638409774
"हो गई थी ।",3781,0.7740410759651198
"हो रहे हैं ।",3777,0.7612186867690566
"माना जाता है ।",3767,0.5743032733072726
"आते हैं । </s>",3740,0.9999986525737242
"की जाती है ।",3739,0.7429991261896234
"को संबोधित करते हुए",3738,0.9766077230617112
"किए गए हैं ।",3737,0.8237723852083844
"जा रही है .",3708,0.1279759230784996
"आ रही है ।",3702,0.6621411153252553
"जा रहा था ।",3694,0.6935516030414157
"कर सकता है ।",3683,0.7044765384906487
"अस्पताल में भर्ती कराया",3671,0.6571293465410631
"<s> उल्लेखनीय है कि",3644,0.9999967795455544
"लगी है । </s>",3637,0.9999988196073918
"माना जा रहा है",3619,0.890803081648226
"होती है . </s>",3610,0.9771220989358893
"चल रही है ।",3592,0.7546266109390314
"हो गया था ।",3588,0.7428892497005538
"चुके हैं . </s>",3576,0.9932554527321712
"को गिरफ्तार कर लिया",3562,0.8096393415799922
"ने कहा था कि",3527,0.9650261598968981
"<s> इस संबंध में",3523,0.9999999943265343
"घायल हो गए ।",3517,0.7327586033906693
"बात यह है कि",3508,0.9855981374649859
"जाना चाहिए । </s>",3499,0.9805901761726237
"का मानना है कि",3494,0.991973379976104
"रखा है । </s>",3481,0.9999987667084412
"दे रहे हैं ।",3464,0.7070171285675235
"प्रधानमंत्री नरेंद्र मोदी ने",3433,0.36956782569717755
"कर दिया . </s>",3432,0.9737463533745836
"पड़ता है । </s>",3425,0.9918185911477033
"कोविड - 19 के",3415,0.32425506894649336
"संभावना है । </s>",3408,0.9914896491635158
"किया जाए । </s>",3407,0.9906210790553505
"मांग की है ।",3406,0.7400779042342506
"कुमार ने बताया कि",3401,0.9791088455174123
"दिया गया है .",3380,0.15522759096493322
"रहे थे . </s>",3370,0.9830051487168926
"कर दी गई है",3353,0.467869863722278
"जा सकती है ।",3341,0.741184568526663
"लगे हैं । </s>",3336,0.9999984893962016
"दिया जा रहा है",3332,0.9096539240812699
"सामने आया है ।",3311,0.6439742895439717
"<s> प्रधानमंत्री नरेंद्र मोदी",3299,0.9999999987185054
"जाती है . </s>",3295,0.9852652272380762
"हो जाती है ।",3284,0.6369289667648254
"मांग की । </s>",3280,0.9999995073602285
"हो सकते हैं ।",3260,0.7298365178366325
"मिले हैं । </s>",3239,0.9999984441573723
"लगता है । </s>",3214,0.9999986642539153
"कर सकते हैं .",3201,0.17091020171378693
"किए गए । </s>",3189,0.9999996152097052
"किया गया . </s>",3159,0.9892640662231295
"दिए गए हैं ।",3158,0.803892866054657
"ने किया । </s>",3152,0.9999994335890866
"आए थे । </s>",3134,0.9999993507890047
"आ रहा है ।",3134,0.6805677298108255
"दिया था . </s>",3132,0.9926229549973182
"बनाया गया है ।",3110,0.8000976170838408
"की मांग की ।",3105,0.2964564653475188
"कर रही हैं ।",3090,0.700176043022649
"चुकी हैं । </s>",3084,0.99999836596165
"गंभीर रूप से घायल",3075,0.8109722107526955
"हो चुके हैं ।",3055,0.7054492652027501
"करती हैं । </s>",3040,0.9999983423110951
