Ngram,Count,Katz_Prob
"गया है । </s>",94329,0.996634864285186
"रहा है । </s>",92139,0.9956828546110786
"रही है । </s>",73230,0.9958590583947562
"रहे हैं । </s>",71056,0.9925754676128348
"गई है । </s>",51554,0.9978804947447883
"किया है । </s>",41571,0.9958198586657084
"जाता है । </s>",39065,0.9976377148402584
". . . </s>",36231,0.6773448746471237
"सकता है । </s>",35669,0.9912873103218276
"<s> उन्होंने कहा कि",35620,0.9401261613175675
"नहीं है । </s>",34051,0.9892649622312609
"सकते हैं । </s>",33636,0.9927833530106257
"किया गया । </s>",32979,0.9989549571380971
"गया था । </s>",32789,0.998431790499391
"जा रहा है ।",32599,0.6246119946349875
"दिया है । </s>",32158,0.9964520327218641
"की है । </s>",31156,0.9969440977888707
"होता है । </s>",25081,0.9946264276649747
"गए हैं । </s>",24967,0.997423195237905
"का कहना है कि",24737,0.9879583033788641
"किया गया है ।",24595,0.755382536318683
"जा रही है ।",22481,0.7756175821142699
"हो गई । </s>",22273,0.9990804288341631
"कर दिया । </s>",21664,0.9974446337308348
"हुआ है । </s>",20837,0.9963896327467483
"दी है । </s>",20629,0.9975579089897965
"कर रहे हैं ।",19949,0.6568056104306598
"हुई है । </s>",19160,0.9970597418817652
"करते हैं । </s>",18859,0.991508937960042
"किया था । </s>",18851,0.9981203007518797
"सकती है । </s>",18238,0.992517006802721
"गया है . </s>",17982,0.9852336858254342
"रहे थे । </s>",17940,0.9974701139838754
"हो गया । </s>",17892,0.997630199620832
"रहा है . </s>",17848,0.9779987944544907
"गई थी । </s>",17411,0.9983657319800447
"रहे हैं . </s>",16950,0.9747254011156479
"होती है । </s>",16924,0.996144564129731
"किया जा रहा है",16722,0.9221076431013566
"दिया गया है ।",16558,0.7601459921035718
"<s> बता दें कि",16530,0.9775563309480159
"रहा था । </s>",16461,0.9980294670466259
"किया जाएगा । </s>",16416,0.994336422557393
"रही हैं । </s>",16105,0.9953952654675814
"जाती है । </s>",16004,0.9961097970870161
"करता है । </s>",15941,0.9950374531835205
". . . .",15408,0.28804987941445903
"की थी । </s>",15065,0.9981778425655977
"रही है . </s>",14734,0.9787099774146406
"की गई । </s>",14561,0.9999656616990591
"लिया है । </s>",13892,0.997093023255814
"नई दिल्ली । </s>",13624,0.9999633000587199
"दिया गया । </s>",13518,0.9978223961024582
"चुके हैं । </s>",13478,0.9983333333333333
"जा सकता है ।",13323,0.6602815086484611
"हो गए । </s>",12909,0.9999612673328685
"कर सकते हैं ।",12899,0.6882136378188027
"दिया था । </s>",12782,0.9983986877050461
"की जा रही है",12582,0.8540832258502478
"कर दिया है ।",12120,0.7306185194116228
"की गई है ।",12097,0.8000330687830688
"हो गया है ।",11967,0.7410056350238405
"गए थे । </s>",11897,0.9977774050155163
"<s> उन्होंने बताया कि",11817,0.9796468247388492
"चुकी है । </s>",11594,0.9972903225806452
"जाते हैं । </s>",11537,0.9970184080891885
"कर रही है ।",11510,0.7262888874865905
"<s> नई दिल्ली ।",11359,0.7268974785613721
"हो गई है ।",11301,0.7659798007184979
"चुका है । </s>",11219,0.9978208663168193
"रही थी । </s>",10762,0.9975435669262143
"जा रहा है कि",10761,0.2061793447020502
"हुए हैं । </s>",10686,0.996595784368588
"हुआ था । </s>",10569,0.9999526918346107
"मौत हो गई ।",10438,0.6269898480206644
"किया है . </s>",10054,0.9841899167890358
"<s> इसके साथ ही",9848,0.9605442840421381
"हो रहा है ।",9838,0.691661393517542
"हो रही है ।",9478,0.7368605193593531
"की जाएगी । </s>",9453,0.9938492272105982
"किया गया था ।",9434,0.7186333511084025
"की मौत हो गई",9270,0.7359082248332804
"दी गई है ।",9205,0.7890022286987828
"हुई थी । </s>",9082,0.9999449460471261
"के साथ - साथ",9032,0.999944641275465
"<s> गौरतलब है कि",8895,0.9937988826815642
"होते हैं । </s>",8759,0.9963030371971334
"गई है . </s>",8714,0.9861362607514712
"जा रहे हैं ।",8686,0.7108773940088394
"ने कहा है कि",8671,0.9925022893772893
"किया जा सकता है",8440,0.8663005543009649
"कर दिया गया है",8403,0.5044728626320846
"किया जाता है ।",8356,0.707134394041977
"हो सकता है ।",8134,0.6277301844562785
"सकते हैं . </s>",8047,0.9818791946308725
"दी गई । </s>",8044,0.9999378418697166
"में है । </s>",8043,0.9951125958921059
"कर दी । </s>",7967,0.9999372411196185
"शामिल हैं । </s>",7918,0.9967896260858617
"सकता है . </s>",7874,0.9789257739649384
"जाता है . </s>",7862,0.9834250688016012
"नहीं है . </s>",7740,0.9575034022021527
"दिया है . </s>",7692,0.9843230099820834
"कर रहा है ।",7598,0.6939623675557179
"बताया जा रहा है",7405,0.9705728142613711
"कर दी है ।",7098,0.8110501656953492
"की है . </s>",7094,0.9857559755419678
"आया है । </s>",7062,0.9959802538787024
"दी थी । </s>",6640,0.9999246987951808
"गया था . </s>",6635,0.9908154121863799
"करते हुए कहा कि",6622,0.8130525540275049
"आई है । </s>",6574,0.9964377747460967
"रहता है । </s>",6514,0.9967100229533282
"करती है । </s>",6284,0.9929677623261695
"कर लिया । </s>",6239,0.9999198589517551
"हो सकती है ।",6238,0.7315857377433732
"<s> आपको बता दें",6176,0.9380981315509646
"गई हैं । </s>",6175,0.9962084543401097
"चल रहा है ।",6157,0.7659243592933566
"रहते हैं । </s>",6148,0.9949020877164589
"में हैं । </s>",6147,0.9944183789030901
"- - - -",6091,0.9999179116729601
"दिया जाएगा । </s>",6079,0.9941936539090612
"कहा गया है कि",6015,0.7184065934065934
"जारी है । </s>",5968,0.9964100851561195
"कर रहे थे ।",5858,0.7250278499814333
"आपको बता दें कि",5850,0.9654233371843538
"है । ' </s>",5844,0.9999144421629022
"<s> इस मौके पर",5772,0.999913374913375
"<s> इस अवसर पर",5731,0.9999127551910661
"जा रहा है .",5707,0.10934086989844798
"हो चुकी है ।",5675,0.7255466052934407
"<s> हाल ही में",5568,0.9883720930232558
"देते हैं । </s>",5565,0.9913593443791199
"कर लिया है ।",5550,0.780300899887514
"का आयोजन किया गया",5541,0.6400023102691463
"होता है . </s>",5356,0.9730196220930233
"दिए हैं । </s>",5251,0.9999047800418968
"देता है । </s>",5231,0.9999044159816479
"सिंह ने बताया कि",5221,0.9790885221305327
"<s> इस मामले में",5185,0.7630997939358257
"कर रहे हैं .",5183,0.17063413670485975
"मिली है । </s>",5088,0.9938464543856222
"<s> बताया जा रहा",5024,0.9999004777070064
"जानकारी दी । </s>",4989,0.9998997795149328
"करना चाहिए । </s>",4952,0.9885206628069475
"नहीं हैं । </s>",4927,0.986483780536644
"हुए थे । </s>",4906,0.9998980839788014
"लिया था । </s>",4893,0.995219690805533
"भी है । </s>",4885,0.9954147136743428
"किया था . </s>",4875,0.9931744091279544
"ली है । </s>",4854,0.999896992171405
"की बात करें तो",4836,0.9998966087675765
"रहे है । </s>",4834,0.9998965659908978
"हो गए हैं ।",4800,0.7439931793520385
"का है । </s>",4780,0.9998953974895397
"कर दिया गया ।",4771,0.28641330451488956
"आ रहे हैं ।",4730,0.7158316936582413
"मिला है । </s>",4677,0.9956355120289546
"रही हैं . </s>",4656,0.9848741273535012
"रहती है । </s>",4635,0.9998921251348436
"जरूरत है । </s>",4606,0.9788522848034006
"शामिल है । </s>",4560,0.999890350877193
"करना होगा । </s>",4535,0.98704832390074
"लिया गया है ।",4534,0.7770826191292424
"आयोजन किया गया ।",4479,0.7990187332738626
"दी है . </s>",4449,0.9927471546529792
"हो जाता है ।",4447,0.6246838999719022
"किया गया है .",4437,0.13626032740563285
"गए हैं . </s>",4415,0.9862600536193029
"हो जाएगा । </s>",4407,0.9868980963045912
"पर है । </s>",4383,0.9998859228838695
"लगा है । </s>",4378,0.9998857925993604
"की जरूरत है ।",4358,0.7163406214039125
"जा सके । </s>",4341,0.9889496468443837
"आए हैं । </s>",4308,0.9948036951501155
"लोगों की मौत हो",4307,0.669751166407465
"की गई थी ।",4283,0.7759557890922268
"किए हैं । </s>",4279,0.9998831502687544
"कर दिया था ।",4268,0.7144650929181315
"हुआ है . </s>",4263,0.9846384846384847
"में कहा गया है",4253,0.7696832579185521
"सकती है . </s>",4221,0.9835702633418784
"जरूरी है । </s>",4219,0.9911889097744361
"दिया गया था ।",4139,0.7502719361856418
"सिंह ने कहा कि",4134,0.8889247311827957
"<s> डॉ . </s>",4124,0.9998787584869059
"चाहते हैं । </s>",4115,0.9794096643656273
"में भर्ती कराया गया",4059,0.743723657687374
"हुई है . </s>",4049,0.9891277791351087
"वाला है । </s>",4048,0.9998764822134387
"होना चाहिए । </s>",4044,0.9871826171875
"लिया गया । </s>",4035,0.9998760842627014
"आता है । </s>",3974,0.993871935967984
"हो चुका है ।",3968,0.7197931785195936
"की थी . </s>",3954,0.9933417085427135
"<s> इतना ही नहीं",3953,0.975925925925926
"करते हैं . </s>",3941,0.967468696292659
"नहीं था । </s>",3935,0.9925580221997982
"सकती हैं । </s>",3919,0.9940385591070523
"है । "" </s>",3895,0.9998716302952503
"करते थे । </s>",3895,0.9998716302952503
"करना है । </s>",3885,0.9881709488679725
"शुरू कर दी है",3885,0.4811122120386426
"दी जाएगी । </s>",3879,0.9919437340153453
"मिलता है । </s>",3877,0.9998710343048749
"<s> जानकारी के अनुसार",3863,0.5346760797342193
"गयी है । </s>",3853,0.9998702309888399
"की मांग की है",3852,0.367544613035595
"हो गई थी ।",3781,0.7732665166700757
"हो रहे हैं ।",3777,0.7604712041884817
"माना जाता है ।",3767,0.5737242955064737
"आते हैं । </s>",3740,0.9998663101604278
"की जाती है ।",3739,0.7423550436854647
"को संबोधित करते हुए",3738,0.9761034212588143
"किए गए हैं ।",3737,0.8231989424983477
"जा रही है .",3708,0.12791540160088324
"आ रही है ।",3702,0.6612182922472312
"जा रहा था ।",3694,0.6928343650347026
"कर सकता है ।",3683,0.7035727932747421
"अस्पताल में भर्ती कराया",3671,0.6554464285714285
"<s> उल्लेखनीय है कि",3644,0.9998627881448957
"लगी है । </s>",3637,0.9998625240582898
"माना जा रहा है",3619,0.890378937007874
"होती है . </s>",3610,0.9765963203463204
"चल रही है ।",3592,0.7538832913518052
"हो गया था ।",3588,0.7422925719015104
"चुके हैं . </s>",3576,0.9929186337128575
"को गिरफ्तार कर लिया",3562,0.8081461311549807
"ने कहा था कि",3527,0.9645787746170679
"<s> इस संबंध में",3523,0.999858075503832
"घायल हो गए ।",3517,0.7322990420658059
"बात यह है कि",3508,0.985252808988764
"जाना चाहिए । </s>",3499,0.9802465676660129
"का मानना है कि",3494,0.9916264547260857
"रखा है । </s>",3481,0.9998563631140477
"दे रहे हैं ।",3464,0.7062601957585645
"प्रधानमंत्री नरेंद्र मोदी ने",3433,0.3688480550182678
"कर दिया . </s>",3432,0.9731990924560409
"पड़ता है । </s>",3425,0.9914591777649102
"कोविड - 19 के",3415,0.3232509703682666
"संभावना है । </s>",3408,0.9911285631180919
"किया जाए । </s>",3407,0.9902616279069767
"मांग की है ।",3406,0.7396828844483058
"कुमार ने बताया कि",3401,0.9785611510791367
"दिया गया है .",3380,0.15515104214489028
"रहे थे . </s>",3370,0.9826480023330417
"कर दी गई है",3353,0.4675732217573222
"जा सकती है ।",3341,0.7400310146211786
"लगे हैं । </s>",3336,0.9998501199040767
"दिया जा रहा है",3332,0.9090040927694406
"सामने आया है ।",3311,0.6430652680652681
"<s> प्रधानमंत्री नरेंद्र मोदी",3299,0.9998484389208852
"जाती है . </s>",3295,0.9849028400597908
"हो जाती है ।",3284,0.6357212003872217
"मांग की । </s>",3280,0.9998475609756098
"हो सकते हैं ।",3260,0.7285426911041574
"मिले हैं । </s>",3239,0.9998456313677061
"लगता है । </s>",3214,0.9998444306160548
"कर सकते हैं .",3201,0.17076619357592573
"किए गए । </s>",3189,0.9998432110379429
"किया गया . </s>",3159,0.98888541014402
"दिए गए हैं ।",3158,0.8032307300941236
"ने किया । </s>",3152,0.9998413705583756
"आए थे । </s>",3134,0.9998404594767071
"आ रहा है ।",3134,0.679865480581471
"दिया था . </s>",3132,0.9922370088719898
"बनाया गया है ।",3110,0.799357326478149
"की मांग की ।",3105,0.29625918503674015
"कर रही हैं ।",3090,0.6992983250339521
"चुकी हैं । </s>",3084,0.9998378728923476
"गंभीर रूप से घायल",3075,0.8107858649789029
"हो चुके हैं ।",3055,0.7044511070110702
"करती हैं । </s>",3040,0.9998355263157894
"करता था । </s>",3030,0.9998349834983499
"कराया गया । </s>",3024,0.999834656084656
"में से एक है",3022,0.4531343731253749
"मिल रहा है ।",3014,0.7546957175056349
"की संभावना है ।",3004,0.7876999737739313
"लगाया है । </s>",2990,0.9998327759197324
"नई दिल्ली . </s>",2986,0.9998325519089082
"ही है । </s>",2986,0.9912018592297477
"रखा गया है ।",2985,0.7872592983381693
"जा सकता है .",2972,0.14727164593348863
"गई थी . </s>",2961,0.9998311381290105
"के बारे में जानकारी",2948,0.10260739399846829
"मामला सामने आया है",2942,0.8585814360770578
"करता है . </s>",2941,0.9785357737104825
"हो जाएगी । </s>",2932,0.9857094821788837
"गिरफ्तार किया है ।",2930,0.8355675984027382
"जाती हैं । </s>",2926,0.9998291182501708
"लिया है . </s>",2922,0.9998288843258042
"सरकार की ओर से",2917,0.9998285910181693
"<s> उत्तर प्रदेश के",2913,0.47636571802420674
"<s> जानकारी के मुताबिक",2909,0.40261627906976744
"पड़ रहा है ।",2905,0.8423723897911833
"एक बार फिर से",2901,0.5614595431668602
"<s> नई दिल्ली .",2895,0.18523614488672724
"जा चुका है ।",2879,0.776294498381877
"निर्देश दिए । </s>",2879,0.9998263285863147
"प्रदर्शन किया । </s>",2878,0.9998262682418346
"कर ली । </s>",2854,0.9998248072880168
"कर दिया है .",2852,0.1719013744875814
"शुरू कर दिया है",2852,0.3746058854440357
"<s> भोपाल । </s>",2841,0.9998240056318198
"वाले हैं । </s>",2840,0.9998239436619718
"आया था । </s>",2825,0.9998230088495575
"नहीं होगा । </s>",2812,0.9864912280701754
"होने की वजह से",2809,0.9998220007119971
"मौजूद थे । </s>",2798,0.9998213009292352
"मिलती है । </s>",2768,0.9998193641618497
"दिया जाता है ।",2766,0.7111082540498843
"रहा था . </s>",2749,0.974645390070922
"कहा जाता है ।",2741,0.4879807692307692
"बात कही । </s>",2736,0.9998172514619883
"कहा है । </s>",2731,0.9998169168802636
"पहुंच गए । </s>",2709,0.9998154300479882
"जाता था । </s>",2706,0.9998152254249815
"का आरोप है कि",2688,0.7634943181818182
"वाली है । </s>",2684,0.9998137108792846
"होती हैं । </s>",2674,0.99981301421092
"है . . .",2654,0.6678832116788321
"होनी चाहिए । </s>",2648,0.9864008941877794
"चुकी है . </s>",2640,0.9908033033033034
"हैं । ' </s>",2640,0.999810606060606
"<s> मुंबई । </s>",2629,0.999809813617345
"हो गई . </s>",2618,0.9799700486709098
"सकते है । </s>",2600,0.9998076923076923
"शुरू कर दिया ।",2588,0.33992380451918025
"भी हैं । </s>",2585,0.9998065764023211
"कर रही है .",2583,0.1629645989777245
"बताया जाता है कि",2576,0.8625251172136638
"कर लिया गया है",2548,0.5873875951118285
"काम कर रहे हैं",2541,0.7565515187611673
"लेते हैं । </s>",2538,0.9998029944838456
"निरीक्षण किया । </s>",2523,0.9998018232263178
"को रोकने के लिए",2513,0.949187759727994
"से बचने के लिए",2512,0.9484516616314199
"हुई हैं । </s>",2500,0.9998
